train_accuracy,test_accuracy,precision,recall,f1_score,max_depth,min_samples_split,min_samples_leaf
0.8013029315960912,0.7727272727272727,0.6507936507936508,0.7592592592592593,0.7008547008547008,5,10,5
0.760586319218241,0.6948051948051948,0.6521739130434783,0.2777777777777778,0.38961038961038963,1,50,20
1.0,0.6688311688311688,0.5365853658536586,0.4074074074074074,0.4631578947368421,,2,1
1.0,0.6688311688311688,0.5365853658536586,0.4074074074074074,0.4631578947368421,15,2,1
0.8013029315960912,0.7727272727272727,0.6507936507936508,0.7592592592592593,0.7008547008547008,5,5,5
